family_key,outcome,outcome_source,n_observations_proxy,n_trial_rows_in_db,best_dsr,best_sharpe_annualized,rebalance_frequency,cost_sensitivity,capacity,mechanism_type,module_path
inelastic_markets,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",92,24,0.0641,-0.0759,quarterly,unknown,unknown,flow mechanism,app/services/research_lab/inelastic_markets_timing.py
insider_opportunistic,Dormant-parked,dormant_pool_manifest.json entries,2905,16,0.1995,0.0703,quarterly,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_insider.py
intraday_momentum_spy,DECLINED,scorecard intraday_momentum_spy_SCORECARD.json decision field,2660,8,0.0081,0.1014,intraday,cost arm(s) persisted in scorecard: one-way bps range 0.00-5.00 across 4 scenarios,"$41,280,000 (The binding volume is NOT the full session's: the position exists only between 15:30 and 16:00, so capacity is set by th)",intraday,app/services/research_lab/intraday_momentum_spy.py
ipo_lockup_expiration,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",1995,24,0.0001,-0.2424,unknown,unknown,unknown,flow mechanism,app/services/research_lab/ipo_lockup_expiration.py
ivol,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,21,0.1506,-0.1137,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_ivol.py
jump_drift,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2927,48,0.0007,-0.2049,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_jump_drift.py
lazy_prices,live-registered,scorecard lazy_prices_jaccard_full_SCORECARD.json decision field,2926,360,0.8684,0.7456,unknown,cost arm(s) persisted in scorecard: one-way bps range 2.00-24.41 across 6 scenarios,"$306,041,594 (median trailing-252-row daily dollar volume across the 501 live-priced names of the S&P 500 screening universe to 2026-0)",published anomaly,app/services/research_lab/cross_sectional_lazy_prices.py
lazy_prices_ptit_fix_verification,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,72,0.7533,0.5946,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_lazy_prices.py
lazy_prices_vocab_ceiling_confound,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,18,0.5703,0.4483,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_lazy_prices.py
lazy_prices_xom_hypothesis_test_fast,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,72,0.7533,0.5946,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_lazy_prices.py
letf_rebalancing_eod,DECLINED,scorecard letf_rebalancing_eod_SCORECARD.json decision field,2637,20,0.0190,0.1040,unknown,cost arm(s) persisted in scorecard: one-way bps range 0.00-2.00 across 3 scenarios,"$118,727,680 (Median of the best spec's own ADV20 series (QQQ, 2,637 sessions, computed as the mean of the previous 20 sessions' regul)",flow mechanism,app/services/research_lab/letf_rebalancing_eod.py
liquidity_shock_delta_illiq,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,16,0.2096,-0.0645,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_illiq.py
low_frequency_patterns,DECLINED,scorecard low_frequency_patterns_SCORECARD.json decision field,1416,28,0.2467,0.6296,unknown,cost arm(s) persisted in scorecard: one-way bps range 2.00-10.00 across 3 scenarios,"$97,000,000 (median ADV across the 284 PHASE_B_UNIVERSE_15MIN tickers (computed from the fetched 15-minute bars, trailing ~1yr) x 1% )",other,app/services/research_lab/low_frequency_patterns.py
margin_credit,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",351,24,0.4511,0.9770,monthly,unknown,unknown,flow mechanism,app/services/research_lab/margin_credit_timing.py
multi_signal_combination,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",1480,16,0.0000,0.4347,unknown,unknown,unknown,other,app/services/research_lab/multi_signal_combination.py
nport_flow_fit,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",unknown (no DB rows found),0,unknown,unknown,unknown,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_nport_flow.py
ofi_crypto,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2157,4,unknown,0.4617,unknown,unknown,unknown,crypto,app/services/research_lab/cross_sectional_ofi.py
patterns_d2,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2927,4,unknown,-0.0726,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_patterns_d2.py
pead_ear,Dormant-parked,dormant_pool_manifest.json entries,2909,16,0.3806,0.1017,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_pead.py
phase_a_intraday_expanded,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",499,1272,0.0043,1.4133,unknown,unknown,unknown,other,app/services/research_lab/multi_signal_combination.py
quality_cbop,live-registered,scorecard quality_cbop_SCORECARD.json decision field,2926,99,0.9697,0.6723,annual,cost arm(s) persisted in scorecard: one-way bps range 2.00-10.00 across 5 scenarios,"$23,104,411 (median trailing-252-row daily dollar volume (close x volume) across the 164 live-priced names of the family's own seeded)",published anomaly,app/services/research_lab/cross_sectional_quality.py
quality_noa,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,9,0.9679,0.6591,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_quality_neutral.py
quality_noa_industry_neutral,retired,registration_scorecard.py RETIRED_LIVE_REGISTRATION_FAMILY_KEYS,2926,18,0.5708,0.3041,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_quality_neutral.py
quarter_end_marking,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2932,18,0.0102,0.4366,daily,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_quarter_end_marking.py
rebalancing_pressure,Dormant-parked,dormant_pool_manifest.json entries,5810,24,0.8013,0.5658,unknown,unknown,unknown,flow mechanism,app/services/research_lab/rebalancing_pressure_timing.py
residual_momentum,Dormant-parked,dormant_pool_manifest.json entries,2929,36,0.6303,0.3262,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_residual_momentum.py
round_c,Dormant-parked,dormant_pool_manifest.json entries,2927,240,0.2402,0.2892,unknown,unknown,unknown,other,app/services/research_lab/multi_signal_combination.py
same_calendar_month_seasonality,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2926,16,0.3912,0.2337,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_seasonality.py
short_interest,live-registered,scorecard short_interest_ratio_SCORECARD.json decision field,2169,24,0.9482,0.7810,monthly,cost arm(s) persisted in scorecard: one-way bps range 5.00-5.00 across 5 scenarios,"$73,032,653 (median trailing-252-row daily dollar volume (close x volume) across the 501 live-priced names of the S&P 500 screening u)",published anomaly,app/services/research_lab/cross_sectional_short_interest.py
small_cap_disposition,Dormant-parked,dormant_pool_manifest.json entries,1672,12,0.2466,0.4541,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_small_mid_cap.py
small_cap_dumb_money,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",77,12,0.1149,0.1756,calendar-time,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_dumb_money.py
small_cap_firesale_pressure,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",67,12,0.0042,0.0000,calendar-time,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_firesale_pressure.py
small_cap_ivol,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",1672,14,0.0520,-0.4157,unknown,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_small_mid_cap.py
small_cap_quarter_end_marking,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",1677,18,0.0000,0.2896,daily,unknown,unknown,flow mechanism,app/services/research_lab/cross_sectional_quarter_end_marking.py
small_cap_tax_loss_selling_turn_of_year,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",1677,16,0.5553,0.5343,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_tax_loss_selling.py
tax_loss_selling_turn_of_year,DECLINED,"SCORECARD_WAIVERS.json (closed candidate family, waived)",2932,16,0.5535,0.5259,daily,unknown,unknown,published anomaly,app/services/research_lab/cross_sectional_tax_loss_selling.py
vol_regime,Dormant-parked,dormant_pool_manifest.json entries,4602,48,0.4834,0.2302,unknown,unknown,unknown,other,app/services/research_lab/vol_regime_timing.py
